         4875499 function calls (4874340 primitive calls) in 1082.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    58209    0.340    0.000    0.635    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:159(_commonType)
    31299    0.533    0.000    0.533    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    28699    0.070    0.000    0.522    0.000 {method 'sum' of 'numpy.ndarray' objects}
     1101    0.011    0.000    0.509    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:666(__new__)
    29199    0.104    0.000    0.509    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:459(_delta_update)
    85497    0.294    0.000    0.499    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:524(_df)
     2204    0.003    0.000    0.483    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:110(__enter__)
     2305    0.463    0.000    0.482    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:102(acquire)
    28805    0.434    0.000    0.459    0.000 {built-in method builtins.sum}
    28699    0.037    0.000    0.452    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_methods.py:47(_sum)
     1100    0.010    0.000    0.437    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:19(__init__)
      100    0.032    0.000    0.416    0.004 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_math.py:114(statistic)
     1101    0.053    0.000    0.385    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/svd.py:4(economic_svd)
     1101    0.278    0.000    0.330    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/_decomp_svd.py:13(svd)
     1100    0.006    0.000    0.302    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_variables.py:22(select)
     2200    0.290    0.000    0.295    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_variables.py:29(names)
    59598    0.295    0.000    0.295    0.000 {method 'astype' of 'numpy.generic' objects}
   144717    0.146    0.000    0.206    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:153(_realType)
   340873    0.169    0.000    0.169    0.000 {built-in method builtins.hasattr}
    58398    0.168    0.000    0.168    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:120(__getattr__)
   340979    0.159    0.000    0.159    0.000 {built-in method builtins.isinstance}
     2200    0.017    0.000    0.157    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/_array.py:50(is_all_finite)
    29199    0.151    0.000    0.151    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py:69(__call__)
    85497    0.097    0.000    0.149    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:310(nsamples)
      100    0.003    0.000    0.139    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:10(davies_pvalue)
     2200    0.009    0.000    0.138    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:2177(sum)
    56709    0.098    0.000    0.137    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:135(_makearray)
    30103    0.133    0.000    0.133    0.000 {built-in method numpy.array}
     2400    0.012    0.000    0.131    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
   157142    0.130    0.000    0.130    0.000 {built-in method numpy.asarray}
       11    0.126    0.011    0.126    0.011 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:133(<listcomp>)
    85031    0.120    0.000    0.120    0.000 {method 'astype' of 'numpy.ndarray' objects}
      100    0.003    0.000    0.117    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:40(_pvalue_lambda)
     1504    0.071    0.000    0.113    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/dot.py:29(ddot)
    57898    0.112    0.000    0.112    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:401(scale)
   144717    0.082    0.000    0.112    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:140(isComplexType)
     1100    0.016    0.000    0.112    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/functools.py:949(__get__)
    78428    0.100    0.000    0.100    0.000 {built-in method builtins.max}
    29910    0.100    0.000    0.100    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:203(_assert_stacked_2d)
     1100    0.032    0.000    0.094    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:465(_logdetXX)
    29899    0.087    0.000    0.087    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:209(_assert_stacked_square)
   171994    0.087    0.000    0.087    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:44(US)
     1100    0.034    0.000    0.086    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:26(__init__)
    27099    0.026    0.000    0.085    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1199(update)
   231425    0.085    0.000    0.085    0.000 {built-in method builtins.issubclass}
   128350    0.084    0.000    0.084    0.000 {built-in method builtins.len}
    29799    0.034    0.000    0.078    0.000 <string>:1(<lambda>)
     1100    0.019    0.000    0.069    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:392(delta)
    58398    0.068    0.000    0.068    0.000 {built-in method math.exp}
    28410    0.067    0.000    0.067    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:130(get_linalg_error_extobj)
      100    0.002    0.000    0.065    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:108(_liu_pvalue_mod_lambda)
   148447    0.064    0.000    0.064    0.000 {method 'get' of 'dict' objects}
      101    0.001    0.000    0.062    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1161(__iter__)
      101    0.001    0.000    0.058    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1326(refresh)
      100    0.008    0.000    0.057    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/stats/_distn_infrastructure.py:2123(sf)
     2202    0.056    0.000    0.057    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:186(disable_on_exception)
    86597    0.056    0.000    0.056    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:58(rank)
      102    0.001    0.000    0.056    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1465(display)
    80203    0.055    0.000    0.055    0.000 {built-in method builtins.min}
    28199    0.054    0.000    0.054    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
    29199    0.053    0.000    0.053    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:59(set_variances)
    32011    0.046    0.000    0.046    0.000 {built-in method __new__ of type object at 0x10eb4ba38}
      100    0.004    0.000    0.043    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chi2comb/_chi2comb.py:44(chi2comb_cdf)
    16200    0.018    0.000    0.042    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:134(_ensure_boundary)
      100    0.037    0.000    0.037    0.000 {built-in method chi2comb._ffi.chi2comb_cdf}
      100    0.032    0.000    0.036    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/stats/_distn_infrastructure.py:980(_open_support_mask)
      306    0.001    0.000    0.035    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:377(disp_len)
      102    0.001    0.000    0.035    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1151(__str__)
     1504    0.002    0.000    0.035    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/lib/function_base.py:873(copy)
      306    0.001    0.000    0.034    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:373(_text_width)
      102    0.005    0.000    0.033    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:467(format_meter)
    29199    0.032    0.000    0.032    0.000 {function ndl.itemset at 0x15b0b3a60}
     1101    0.009    0.000    0.032    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:682(_get_free_pos)
    64198    0.031    0.000    0.031    0.000 {built-in method builtins.getattr}
      200    0.002    0.000    0.029    0.000 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_math.py:33(rsolve)
     1100    0.010    0.000    0.028    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:170(__init__)
    28299    0.028    0.000    0.028    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:197(_assert_2d)
    56620    0.027    0.000    0.027    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     1101    0.016    0.000    0.026    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/lapack.py:979(_compute_lwork)
    47006    0.018    0.000    0.025    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:374(<genexpr>)
     1100    0.004    0.000    0.024    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:112(__new__)
    29799    0.024    0.000    0.024    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:488(_unary_dispatcher)
     1101    0.004    0.000    0.021    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:685(<setcomp>)
      102    0.000    0.000    0.020    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:460(print_status)
    67995    0.020    0.000    0.020    0.000 {built-in method builtins.abs}
     1100    0.002    0.000    0.018    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:97(listen)
    28299    0.018    0.000    0.018    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2187(_lstsq_dispatcher)
        1    0.000    0.000    0.018    0.018 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:542(get_L_values)
        1    0.000    0.000    0.017    0.017 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:553(<listcomp>)
     1101    0.013    0.000    0.017    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/_lib/_util.py:194(_asarray_validated)
     1100    0.004    0.000    0.016    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:152(talk_to)
      102    0.000    0.000    0.016    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:385(disp_trim)
     1100    0.003    0.000    0.016    0.000 {method 'view' of 'numpy.ndarray' objects}
     2305    0.015    0.000    0.015    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     2204    0.002    0.000    0.015    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:113(__exit__)
      100    0.004    0.000    0.015    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:95(_lambda)
     3303    0.006    0.000    0.015    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.py:59(__iter__)
     2305    0.006    0.000    0.014    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:106(release)
     1100    0.008    0.000    0.014    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:142(_initialize_interval)
     1100    0.003    0.000    0.013    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:122(__array_finalize__)
    15100    0.012    0.000    0.012    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:130(_boundary_inside)
     1100    0.004    0.000    0.012    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:174(_create_callback)
     2200    0.011    0.000    0.012    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:131(__setattr__)
     1100    0.005    0.000    0.010    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:13(__init__)
     1101    0.002    0.000    0.010    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.py:107(remove)
     2203    0.003    0.000    0.009    0.000 {method 'remove' of 'set' objects}
     1100    0.006    0.000    0.009    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_variables.py:60(merge_variables)
     1101    0.004    0.000    0.008    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.py:82(add)
    46700    0.008    0.000    0.008    0.000 {built-in method unicodedata.east_asian_width}
     1100    0.006    0.000    0.008    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py:47(__new__)
     1101    0.005    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/blas.py:384(getter)
     1101    0.007    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/lapack.py:1014(_check_work_float)
     2305    0.007    0.000    0.007    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      100    0.001    0.000    0.007    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/stats/_distn_infrastructure.py:559(argsreduce)
     1101    0.006    0.000    0.006    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/functools.py:392(__get__)
      100    0.004    0.000    0.006    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:124(_liu_params_mod_lambda)
     1100    0.004    0.000    0.006    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/shape_base.py:81(atleast_2d)
     2700    0.005    0.000    0.005    0.000 {built-in method numpy.zeros}
     1100    0.001    0.000    0.005    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:41(bounds)
     3300    0.005    0.000    0.005    0.000 {built-in method builtins.sorted}
     12/2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:1002(_find_and_load)
     12/2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      100    0.003    0.000    0.005    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1090(eigvalsh)
      100    0.001    0.000    0.005    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:3385(mean)
     12/2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:659(_load_unlocked)
     1101    0.002    0.000    0.005    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:124(__eq__)
     1102    0.003    0.000    0.004    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.py:27(__exit__)
     11/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:844(exec_module)
     2203    0.003    0.000    0.004    0.000 {method 'add' of 'set' objects}
      102    0.000    0.000    0.004    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:454(fp_write)
     13/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     11/2    0.000    0.000    0.004    0.002 {built-in method builtins.exec}
     1100    0.003    0.000    0.004    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:225(_isfixed)
      206    0.000    0.000    0.004    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:193(inner)
     1101    0.002    0.000    0.004    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:155(__init__)
      100    0.001    0.000    0.004    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_methods.py:101(_mean)
      711    0.003    0.000    0.004    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.004    0.004 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/__init__.py:1(<module>)
      300    0.001    0.000    0.004    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:235(v0)
     3303    0.004    0.000    0.004    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:151(wrapper_setattr)
      104    0.003    0.000    0.003    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2200    0.003    0.000    0.003    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:138(_tol)
     1101    0.003    0.000    0.003    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/_monitor.py:94(report)
     2400    0.003    0.000    0.003    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
     2202    0.002    0.000    0.003    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1154(_comparable)
     1100    0.002    0.000    0.003    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_variables.py:26(<listcomp>)
     1102    0.002    0.000    0.003    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.py:21(__enter__)
     2202    0.001    0.000    0.003    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1158(__hash__)
        1    0.000    0.000    0.003    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:1(<module>)
      100    0.001    0.000    0.003    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/lib/stride_tricks.py:480(broadcast_arrays)
     2305    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
      200    0.001    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_ufunc_config.py:33(seterr)
      100    0.000    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:2322(any)
     1400    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      200    0.001    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/shape_base.py:23(atleast_1d)
      605    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chi2comb/__init__.py:1(<module>)
     2186    0.001    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:1266(close)
     1101    0.001    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/sparse/_base.py:1461(issparse)
     1101    0.002    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/ma/core.py:6485(isMaskedArray)
      100    0.000    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
      100    0.000    0.000    0.002    0.000 {method 'max' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1101    0.001    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:763(get_lock)
      100    0.000    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:2100(clip)
      200    0.000    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:247(v1)
      100    0.001    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/chiscore/_davies.py:51(<listcomp>)
     4601    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      203    0.001    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:400(format_interval)
      100    0.000    0.000    0.002    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_methods.py:39(_amax)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
