         8980890 function calls (8978862 primitive calls) in 572.933 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50271    0.048    0.000    0.516    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/_methods.py:47(_sum)
     6006    0.007    0.000    0.512    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:377(disp_len)
     6006    0.010    0.000    0.495    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:373(_text_width)
     2002    0.072    0.000    0.483    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:467(format_meter)
    50273    0.237    0.000    0.431    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:159(_commonType)
        1    0.080    0.080    0.367    0.367 /Users/yupeng/Desktop/Internship/Garvan/CellRegMap/cellregmap/_cellregmap.py:63(__init__)
   955838    0.252    0.000    0.365    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:374(<genexpr>)
   150804    0.127    0.000    0.307    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:524(_df)
     2002    0.007    0.000    0.291    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:460(print_status)
       11    0.000    0.000    0.287    0.026 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:39(economic_qs_linear)
       11    0.000    0.000    0.287    0.026 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/qs.py:74(_economic_qs_linear_noq1)
       11    0.287    0.026    0.287    0.026 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:1499(svd)
   102547    0.232    0.000    0.232    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:120(__getattr__)
     2002    0.004    0.000    0.227    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:385(disp_trim)
    52273    0.196    0.000    0.196    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py:69(__call__)
   100535    0.136    0.000    0.193    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:135(_makearray)
    52279    0.192    0.000    0.192    0.000 {built-in method numpy.array}
   150804    0.114    0.000    0.180    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:310(nsamples)
   560951    0.173    0.000    0.173    0.000 {built-in method builtins.hasattr}
   150820    0.170    0.000    0.170    0.000 {method 'astype' of 'numpy.ndarray' objects}
   560985    0.164    0.000    0.164    0.000 {built-in method builtins.isinstance}
     4022    0.023    0.000    0.143    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/_array.py:50(is_all_finite)
   140745    0.140    0.000    0.140    0.000 {built-in method builtins.max}
   225215    0.134    0.000    0.134    0.000 {built-in method numpy.asarray}
   150808    0.085    0.000    0.130    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:153(_realType)
     4022    0.011    0.000    0.117    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:2177(sum)
     2011    0.067    0.000    0.115    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/dot.py:29(ddot)
   949832    0.113    0.000    0.113    0.000 {built-in method unicodedata.east_asian_width}
     2011    0.044    0.000    0.111    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:26(__init__)
     4024    0.012    0.000    0.104    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
   201048    0.095    0.000    0.095    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/_svd.py:44(US)
    50273    0.091    0.000    0.091    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:130(get_linalg_error_extobj)
   102547    0.087    0.000    0.087    0.000 {built-in method math.exp}
229502/229500    0.084    0.000    0.084    0.000 {built-in method builtins.len}
   150808    0.058    0.000    0.081    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:140(isComplexType)
     2011    0.019    0.000    0.079    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:392(delta)
    50262    0.078    0.000    0.078    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
    52273    0.068    0.000    0.068    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:59(set_variances)
     2002    0.006    0.000    0.067    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:454(fp_write)
     2012    0.016    0.000    0.066    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:666(__new__)
   140881    0.063    0.000    0.063    0.000 {built-in method builtins.min}
     4006    0.003    0.000    0.061    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:193(inner)
     6027    0.015    0.000    0.057    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:102(acquire)
     2004    0.056    0.000    0.056    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   251343    0.055    0.000    0.055    0.000 {built-in method builtins.issubclass}
    14011    0.041    0.000    0.055    0.000 {method 'format' of 'str' objects}
    52273    0.051    0.000    0.051    0.000 {function ndl.itemset at 0x1549c2e50}
   156858    0.049    0.000    0.049    0.000 {method 'get' of 'dict' objects}
    28155    0.022    0.000    0.048    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/brent_search/_bracket.py:134(_ensure_boundary)
   112637    0.045    0.000    0.045    0.000 {built-in method builtins.getattr}
     2012    0.012    0.000    0.043    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:682(_get_free_pos)
     2011    0.002    0.000    0.042    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/lib/function_base.py:873(copy)
     4024    0.026    0.000    0.041    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/utils.py:186(disable_on_exception)
     6027    0.037    0.000    0.037    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     2011    0.013    0.000    0.036    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_function.py:170(__init__)
   100546    0.036    0.000    0.036    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     2011    0.022    0.000    0.036    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/linalg/lapack.py:979(_compute_lwork)
    50262    0.036    0.000    0.036    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:197(_assert_2d)
     2011    0.006    0.000    0.032    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:112(__new__)
     6027    0.013    0.000    0.031    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:106(release)
     4026    0.004    0.000    0.030    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:110(__enter__)
     2012    0.006    0.000    0.028    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:685(<setcomp>)
   128588    0.027    0.000    0.027    0.000 {built-in method builtins.abs}
     4003    0.009    0.000    0.026    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:400(format_interval)
     2011    0.021    0.000    0.024    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/functools.py:949(__get__)
     2011    0.003    0.000    0.023    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_types.py:97(listen)
     2011    0.019    0.000    0.023    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/scipy/_lib/_util.py:194(_asarray_validated)
     2011    0.007    0.000    0.023    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/optimix/_variables.py:22(select)
     6025    0.009    0.000    0.021    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_weakrefset.py:59(__iter__)
    50271    0.021    0.000    0.021    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:478(_logdetH)
    50262    0.021    0.000    0.021    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2187(_lstsq_dispatcher)
     2011    0.004    0.000    0.020    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/ndarray_listener/_ndl.py:152(talk_to)
     4026    0.003    0.000    0.020    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:113(__exit__)
    12001    0.020    0.000    0.020    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tqdm/std.py:231(__call__)
