         97930 function calls (97711 primitive calls) in 26.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.166    0.010    0.167    0.010 {built-in method posix.fork}
       10    0.000    0.000    0.053    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/parallel.py:1329(_initialize_backend)
       10    0.000    0.000    0.053    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_parallel_backends.py:542(configure)
       10    0.000    0.000    0.049    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/executor.py:19(get_memmapping_executor)
       10    0.000    0.000    0.049    0.005 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/executor.py:25(get_memmapping_executor)
      272    0.002    0.000    0.042    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/solve.py:54(rsolve)
       20    0.000    0.000    0.041    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:541(register_new_context)
       10    0.000    0.000    0.041    0.004 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:522(__init__)
       10    0.000    0.000    0.040    0.004 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:537(set_current_context)
       42    0.000    0.000    0.040    0.001 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/resource_tracker.py:176(register)
       95    0.001    0.000    0.040    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/resource_tracker.py:87(ensure_running)
       20    0.000    0.000    0.039    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/_memmapping_reducer.py:573(register_folder_finalizer)
      272    0.004    0.000    0.038    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/solve.py:140(rsolve)
        1    0.000    0.000    0.038    0.038 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/joblib/externals/loky/backend/resource_tracker.py:356(spawnv_passfds)
       11    0.000    0.000    0.034    0.003 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:98(__init__)
      272    0.022    0.000    0.030    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2191(lstsq)
       11    0.023    0.002    0.023    0.002 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_b.py:28(__init__)
