         1386575 function calls (1369194 primitive calls) in 1.421 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5261    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.036    0.036 _sketches.py:1(<module>)
      126    0.000    0.000    0.035    0.000 re.py:250(compile)
        2    0.000    0.000    0.034    0.017 linalg.py:1(<module>)
     5282    0.034    0.000    0.034    0.000 {built-in method posix.stat}
      585    0.003    0.000    0.032    0.000 textwrap.py:414(dedent)
     1627    0.013    0.000    0.032    0.000 _lmm.py:561(_logdetD)
        1    0.000    0.000    0.031    0.031 creation.py:1(<module>)
        1    0.000    0.000    0.030    0.030 _discrete_distns.py:5(<module>)
      299    0.001    0.000    0.029    0.000 utils.py:684(extra_titles)
     1312    0.004    0.000    0.028    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.027    0.027 datasets.py:1(<module>)
        1    0.000    0.000    0.026    0.026 ufunc.py:1(<module>)
        2    0.000    0.000    0.026    0.013 _basic.py:1(<module>)
      299    0.014    0.000    0.025    0.000 utils.py:686(<dictcomp>)
        8    0.000    0.000    0.025    0.003 __init__.py:2(<module>)
1890/1856    0.004    0.000    0.025    0.000 _types.py:108(__setattr__)
        1    0.000    0.000    0.023    0.023 routines.py:1(<module>)
     1618    0.005    0.000    0.023    0.000 _lmm.py:572(_yTBy)
     2238    0.008    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        3    0.000    0.000    0.022    0.007 random.py:1(<module>)
     1149    0.009    0.000    0.022    0.000 inspect.py:2150(_signature_from_function)
        3    0.000    0.000    0.022    0.007 indexing.py:1(<module>)
      313    0.001    0.000    0.021    0.000 utils.py:678(skip_doctest)
      148    0.000    0.000    0.021    0.000 sre_parse.py:937(parse)
      598    0.001    0.000    0.020    0.000 utils.py:568(get_named_args)
       80    0.000    0.000    0.020    0.000 ufunc.py:83(__init__)
  382/148    0.001    0.000    0.020    0.000 sre_parse.py:435(_parse_sub)
        5    0.000    0.000    0.020    0.004 core.py:1(<module>)
       36    0.000    0.000    0.020    0.001 std.py:666(__new__)
      386    0.003    0.000    0.019    0.000 _util.py:296(getfullargspec_no_self)
  486/154    0.007    0.000    0.019    0.000 sre_parse.py:493(_parse)
     1652    0.003    0.000    0.019    0.000 _ndl.py:170(itemset)
     3289    0.010    0.000    0.019    0.000 _lmm.py:375(delta)
      313    0.004    0.000    0.018    0.000 utils.py:681(<listcomp>)
       69    0.000    0.000    0.018    0.000 utils.py:745(unsupported_arguments)
       20    0.000    0.000    0.018    0.001 _axis_nan_policy.py:382(axis_nan_policy_decorator)
       36    0.000    0.000    0.018    0.001 std.py:763(get_lock)
        1    0.000    0.000    0.018    0.018 std.py:90(__init__)
        1    0.000    0.000    0.018    0.018 _compatibility.py:1(<module>)
        1    0.000    0.000    0.018    0.018 std.py:116(create_mp_lock)
        1    0.000    0.000    0.018    0.018 context.py:70(RLock)
    11014    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      148    0.000    0.000    0.018    0.000 sre_compile.py:598(_code)
      111    0.003    0.000    0.018    0.000 utils.py:749(<listcomp>)
        1    0.000    0.000    0.018    0.018 synchronize.py:186(__init__)
        1    0.000    0.000    0.018    0.018 synchronize.py:50(__init__)
        2    0.000    0.000    0.017    0.009 backends.py:1(<module>)
     2419    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
        2    0.000    0.000    0.017    0.008 array.py:1(<module>)
    10985    0.004    0.000    0.017    0.000 re.py:188(match)
      416    0.009    0.000    0.017    0.000 doccer.py:180(indentcount_lines)
  570/492    0.001    0.000    0.017    0.000 typing.py:269(inner)
      996    0.008    0.000    0.016    0.000 linalg.py:2037(slogdet)
      127    0.000    0.000    0.016    0.000 _distn_infrastructure.py:684(_attach_argparser_methods)
      108    0.001    0.000    0.016    0.000 _distn_infrastructure.py:1857(_attach_methods)
     1300    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     1652    0.002    0.000    0.015    0.000 _ndl.py:155(__notify)
       20    0.000    0.000    0.015    0.001 _docscrape.py:563(__init__)
        1    0.000    0.000    0.015    0.015 _pickle.py:1(<module>)
