         737720 function calls (729841 primitive calls) in 0.724 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.037    0.037 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/_libs/__init__.py:1(<module>)
      924    0.006    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        1    0.000    0.000    0.037    0.037 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/io/json/__init__.py:1(<module>)
      558    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.036    0.036 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/io/json/_json.py:1(<module>)
        1    0.000    0.000    0.035    0.035 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/utils.py:1(<module>)
      618    0.001    0.000    0.034    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/_util/solve.py:54(rsolve)
        1    0.000    0.000    0.034    0.034 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tlz/__init__.py:1(<module>)
        1    0.000    0.000    0.034    0.034 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/tlz/_build_tlz.py:1(<module>)
        1    0.000    0.000    0.034    0.034 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/io/parsers/__init__.py:1(<module>)
      618    0.003    0.000    0.033    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy_sugar/linalg/solve.py:140(rsolve)
      452    0.003    0.000    0.031    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/textwrap.py:414(dedent)
        1    0.000    0.000    0.031    0.031 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/toolz/__init__.py:1(<module>)
        1    0.000    0.000    0.030    0.030 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/_libs/tslibs/__init__.py:1(<module>)
        1    0.000    0.000    0.029    0.029 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/creation.py:1(<module>)
        1    0.000    0.000    0.028    0.028 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/pandas/core/arrays/__init__.py:1(<module>)
      299    0.001    0.000    0.028    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/utils.py:684(extra_titles)
        1    0.000    0.000    0.027    0.027 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/delayed.py:1(<module>)
    11544    0.005    0.000    0.027    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/re.py:289(_compile)
        1    0.000    0.000    0.027    0.027 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/backends.py:1(<module>)
      618    0.020    0.000    0.027    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/numpy/linalg/linalg.py:2191(lstsq)
      890    0.001    0.000    0.026    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/inspect.py:3128(signature)
        1    0.000    0.000    0.025    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/ufunc.py:1(<module>)
        1    0.000    0.000    0.025    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/highlevelgraph.py:1(<module>)
      890    0.000    0.000    0.025    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/inspect.py:2876(from_callable)
        1    0.000    0.000    0.025    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/core.py:1(<module>)
        1    0.000    0.000    0.025    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/widgets/__init__.py:1(<module>)
      616    0.001    0.000    0.025    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:549(_update_scale)
  977/890    0.004    0.000    0.025    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/inspect.py:2244(_signature_from_callable)
        1    0.000    0.000    0.025    0.025 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/widgets/widgets.py:1(<module>)
     1235    0.004    0.000    0.025    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:580(_tXTBtX)
      299    0.013    0.000    0.025    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/utils.py:686(<dictcomp>)
      558    0.024    0.000    0.024    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.024    0.024 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/jinja2/__init__.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/dask/array/routines.py:1(<module>)
      616    0.003    0.000    0.023    0.000 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/glimix_core/lmm/_lmm.py:533(_optimal_scale_using_optimal_beta)
        1    0.000    0.000    0.022    0.022 /Users/yupeng/Library/Python/3.9/lib/python/site-packages/jinja2/environment.py:1(<module>)
