         1386601 function calls (1369191 primitive calls) in 1.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.005    0.000    2.360    0.017 __init__.py:1(<module>)
   1421/1    0.030    0.000    1.481    1.481 {built-in method builtins.exec}
        1    0.000    0.000    1.481    1.481 basic1.py:3(<module>)
  1430/13    0.006    0.000    1.123    0.086 <frozen importlib._bootstrap>:1002(_find_and_load)
  1399/13    0.005    0.000    1.123    0.086 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
  1313/14    0.005    0.000    1.120    0.080 <frozen importlib._bootstrap>:659(_load_unlocked)
  1854/17    0.001    0.000    1.118    0.066 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
  1119/12    0.002    0.000    1.118    0.093 <frozen importlib._bootstrap_external>:844(exec_module)
   684/96    0.001    0.000    0.963    0.010 {built-in method builtins.__import__}
19451/18092    0.011    0.000    0.933    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.662    0.662 _cellregmap.py:640(estimate_betas)
        1    0.000    0.000    0.513    0.513 _cellregmap.py:589(compute_maf)
        1    0.000    0.000    0.494    0.494 _cellregmap.py:471(run_association)
        1    0.000    0.000    0.493    0.493 _cellregmap.py:246(scan_association)
        1    0.000    0.000    0.354    0.354 _cellregmap.py:443(lrt_pvalues)
       34    0.000    0.000    0.353    0.010 _lmm.py:259(fit)
       34    0.000    0.000    0.348    0.010 _function.py:66(_maximize_scalar)
       34    0.001    0.000    0.348    0.010 _function.py:23(_minimize_scalar)
       34    0.000    0.000    0.326    0.010 _optimize.py:11(minimize)
        1    0.000    0.000    0.320    0.320 _stats_py.py:19(<module>)
     1584    0.001    0.000    0.319    0.000 _optimize.py:50(func)
     1584    0.002    0.000    0.317    0.000 _function.py:45(func)
     1584    0.003    0.000    0.293    0.000 _lmm.py:292(value)
        2    0.000    0.000    0.290    0.145 testing.py:1(<module>)
        9    0.000    0.000    0.253    0.028 api.py:1(<module>)
     1119    0.008    0.000    0.211    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000    0.207    0.207 distributions.py:8(<module>)
1312/1306    0.002    0.000    0.189    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       34    0.002    0.000    0.175    0.005 _bracket.py:8(bracket)
  181/178    0.000    0.000    0.157    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
  181/178    0.153    0.001    0.156    0.001 {built-in method _imp.create_dynamic}
     1618    0.005    0.000    0.153    0.000 _lmm.py:540(_update_beta)
       34    0.003    0.000    0.150    0.004 _brent.py:9(brent)
        1    0.000    0.000    0.148    0.148 _cellregmap.py:137(predict_interaction)
     1378    0.007    0.000    0.140    0.000 <frozen importlib._bootstrap>:901(_find_spec)
